Country,Bronze
United States of America,33
ROC,23
Great Britain,22
Australia,22
Italy,20
People's Republic of China,18
Japan,17
Germany,16
Netherlands,14
Ukraine,12
France,11
Canada,11
Republic of Korea,10
Turkey,9
Brazil,8
Kazakhstan,8
New Zealand,7
Hungary,7
Chinese Taipei,6
Spain,6
Switzerland,6
Austria,5
Serbia,5
Poland,5
Cuba,5
Denmark,4
Jamaica,4
Azerbaijan,4
Egypt,4
India,4
Mexico,4
Mongolia,3
Belgium,3
Indonesia,3
Czech Republic,3
"Hong Kong, China",3
Belarus,3
Armenia,2
Argentina,2
San Marino,2
Portugal,2
Ethiopia,2
Dominican Republic,2
Finland,2
Israel,2
Ireland,2
Uzbekistan,2
Bulgaria,2
Islamic Republic of Iran,2
Croatia,2
Norway,2
Kenya,2
Botswana,1
Burkina Faso,1
Côte d'Ivoire,1
Nigeria,1
Malaysia,1
Jordan,1
Ghana,1
Grenada,1
Kuwait,1
Republic of Moldova,1
Kyrgyzstan,1
Syrian Arab Republic,1
Colombia,1
Thailand,1
Latvia,1
Fiji,1
Estonia,1
Slovakia,1
Philippines,1
Qatar,1
Uganda,1
Greece,1
Georgia,1
Slovenia,1
Puerto Rico,0
Morocco,0
Bermuda,0
Tunisia,0
South Africa,0
Bahrain,0
Saudi Arabia,0
Lithuania,0
North Macedonia,0
Namibia,0
Turkmenistan,0
Venezuela,0
Romania,0
Kosovo,0
Bahamas,0
Ecuador,0
Sweden,0
